,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID5259808658,2,8,6,-37.807202,145.0266373,-37.773845,144.9836895,8606,15/07/18,13:18:43,2001.84,13:52:04,176.63
ID1636186941,0,7,4,-37.8618349,144.905716,-37.8089249,145.0088358,12067,16/04/18,0:30:33,3818.4,1:34:11,15.49
ID3674911830,1,6,1,-37.7907967,144.985865,-37.8118278,144.9675751,3443,17/03/18,23:41:36,982.68,23:57:58,23.95
ID3809401056,1,6,1,-37.773845,144.9836895,-37.8211598,144.9554353,6554,17/06/18,6:48:46,1438.38,7:12:44,16.15
ID1856834077,0,2,4,-37.8152139,144.9355033,-37.8033609,144.9905526,6308,15/04/18,13:32:13,1539.84,13:57:52,13.06
ID1485351111,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797,04/06/18,8:43:00,13204.98,12:23:04,24.9
ID3853905072,1,6,4,-37.7874325,144.9803767,-37.814424,145.0149411,6053,08/07/18,4:51:27,1577.64,5:17:44,26.12
ID3224453438,1,6,2,-37.7874325,144.9803767,-37.8164357,144.9458352,5261,21/01/18,16:02:04,1280.94,16:23:24,20.92
ID5145789757,2,9,3,-38.1109156,144.6541725,-37.808938,144.9838767,45493,21/01/18,6:26:49,11015.46,9:30:24,835.06
ID5580630094,2,9,6,-38.1109156,144.6541725,-37.7738026,144.9836466,51061,24/06/18,15:02:48,12952.44,18:38:40,988.65
ID1790307124,0,5,4,-37.7994828,144.9368464,-37.8073834,144.9941797,5304,22/03/18,21:45:22,1397.58,22:08:39,14.48
ID5671470141,2,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797,27/07/18,5:12:09,13204.98,8:52:13,1006.1
ID1950477834,0,5,6,-37.8113599,144.9272092,-37.7874421,144.9804091,6946,13/05/18,7:18:10,1794.96,7:48:04,9.19
ID1400129842,0,9,1,-38.1109156,144.6541725,-37.7996623,144.9622425,44652,13/01/18,16:10:50,10789.08,19:10:39,26.91
ID3899494780,1,2,1,-37.8134499,144.9369846,-37.8194749,144.9631403,3114,21/02/18,1:54:27,806.82,2:07:53,20.93
ID5647507942,2,1,6,-37.8173234,144.9674074,-37.7907967,144.985865,3982,27/03/18,0:29:23,1115.58,0:47:58,113.2
ID3151305419,1,5,3,-37.8132018,144.933495,-37.821958,144.9938499,6975,20/05/18,7:20:24,1685.88,7:48:29,17.4
ID3133533574,1,5,3,-37.7997859,144.9348862,-37.8122754,144.9908322,7585,15/05/18,16:15:18,1936.92,16:47:34,18.38
ID3999857123,1,8,3,-37.8158343,145.04645,-37.8228222,145.0045573,4855,08/06/18,21:18:40,1488.48,21:43:28,24.22
ID5647912245,2,6,3,-37.7738026,144.9836466,-37.8231494,145.0024724,10810,04/05/18,1:43:11,3203.28,2:36:34,265.81
ID5268371680,2,6,7,-37.773845,144.9836895,-37.8618349,144.905716,13169,28/05/18,6:34:04,3866.46,7:38:30,298.89
