,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1894121772,0,2,7,-37.8150193,144.9451592,-37.8618349,144.905716,9553.0,2018-04-01,09:46:21,3194.76,10:39:35,8.7
ID1190628672,0,9,1,-38.1109156,144.6541725,-37.8153646,144.941289,42145.0,2018-04-17,19:30:33,10098.539999999997,22:18:51,15.28
ID3408994706,1,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51036.4,2018-07-04,21:50:32,12681.059999999998,1:21:53,61.93
ID1449124863,0,5,7,-37.7997515,144.9353799,-37.8618349,144.905716,13688.0,2018-02-03,07:45:19,4282.620000000001,8:56:41,10.78
ID5138364089,2,3,7,-37.8154058,144.9775738,-37.8618349,144.905716,8702.3,2018-07-06,20:03:27,3002.8199999999997,20:53:29,288.59
ID5337511386,2,3,5,-37.823516,144.9680569,-37.8093172,144.9340149,4008.5,2018-03-25,12:02:32,1022.6399999999999,12:19:34,120.08
ID3598143669,1,4,9,-37.8011444,145.00368,-38.1109156,144.6541725,47889.7,2018-06-20,12:00:19,11598.9,15:13:37,52.19
ID5551552295,2,1,3,-37.8130783,144.955614,-37.8145067,144.9999352,4423.0,2018-07-25,22:12:05,1084.2600000000002,22:30:09,126.65
ID1394393315,0,4,8,-37.802362,144.9915361,-37.807202,145.0266373,4298.0,2018-05-09,03:20:14,1192.3200000000002,3:40:06,11.56
ID1725456391,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50804.7,2018-05-06,21:58:05,13173.359999999999,1:37:38,26.23
ID3812335363,1,8,2,-37.8158343,145.04645,-37.8255903,144.9455491,9642.0,2018-05-22,23:23:44,2765.159999999999,0:09:49,25.44
ID3461654630,1,2,3,-37.8248196,144.9282668,-37.8152997,144.9902847,10777.0,2018-05-08,13:49:35,2675.1,14:34:10,19.36
ID1331749623,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-04-05,23:34:03,4298.280000000001,0:45:41,13.15
