,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID5937691626,2,5,3,-37.7985094,144.9200724,-37.8249166,144.9920157,7764.0,2018-05-09,01:48:26,2116.9200000000005,2:23:42,189.77
1,ID3134841880,1,9,3,-38.1109156,144.65417250000002,-37.8150465,144.9834342,45298.0,2018-05-08,21:23:00,10849.200000000004,0:23:49,51.98
2,ID3992485703,1,5,8,-37.801311,144.9212335,-37.8158343,145.04645,11365.0,2018-04-22,05:07:28,3189.96,6:00:37,28.62
3,ID5314667746,2,6,4,-37.7874421,144.9804091,-37.810995299999995,145.000582,4362.0,2018-04-13,16:12:21,1112.1,16:30:53,104.98
4,ID1439902035,0,3,4,-37.8105799,145.0007616,-37.803765399999996,145.00566740000002,1518.0,2018-05-23,17:52:14,375.4199999999999,17:58:29,7.38
5,ID1211049648,0,1,7,-37.804639200000004,144.94511369999998,-37.8618349,144.90571599999998,10032.0,2018-02-26,00:12:28,3318.96,1:07:46,15.22
6,ID1127774842,0,7,4,-37.8618349,144.90571599999998,-37.8131544,145.0095577,11980.0,2018-06-08,11:28:11,3751.139999999999,12:30:42,9.66
7,ID3932903896,1,1,9,-37.81578629999999,144.95826709999997,-38.1109156,144.65417250000002,42854.0,2018-06-12,11:16:24,10301.58,14:08:05,39.7
8,ID3589256193,1,5,9,-37.8024333,144.9381113,-38.1109156,144.65417250000002,43921.0,2018-04-03,18:41:15,10530.66,21:36:45,22.565
9,ID3839095183,1,8,3,-37.807202000000004,145.0266373,-37.8253674,144.98281409999998,5901.0,2018-02-23,06:49:55,1459.3200000000008,7:14:14,8.51
10,ID3272628882,1,1,6,-37.81782379999999,144.96410790000002,-37.773845,144.9836895,5658.0,2018-01-11,11:07:52,1207.5,11:27:59,7.4
11,ID1299979792,0,9,3,-38.1109156,144.65417250000002,-37.817826000000004,144.99232769999998,46088.0,2018-01-07,07:24:58,11183.39999999999,10:31:21,24.33
12,ID1856383785,0,1,7,-37.80181470000001,144.9572168,-37.8618349,144.90571599999998,9518.0,2018-03-21,08:20:11,3186.4800000000005,9:13:17,7.09
